Product ID=2c, Serial#=TV110052651, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1139822 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
01/08/2024 14:50:17  01/08/2024 12:53:17 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1704725417_0017>
01/08/2024 14:50:14  01/08/2024 12:53:14 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1704725414_0017>
01/08/2024 14:40:36  01/08/2024 12:43:36 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704724836_0017>
01/08/2024 14:40:36  01/08/2024 12:43:36 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1704724836_0017>
01/08/2024 14:10:40  01/08/2024 12:13:40 E-00093     0 65535  ERR_KEYPAD_STUCK_KEY  LOW_ALARM  <UTC:1704723040_0017>
01/08/2024 14:10:40  01/08/2024 12:13:40 E-00093    20 65535  ERR_KEYPAD_STUCK_KEY  LOW_ALARM  <UTC:1704723040_0017>
01/08/2024 14:10:40  01/08/2024 12:13:40 E-00093    30 65535  ERR_KEYPAD_STUCK_KEY  LOW_ALARM  <UTC:1704723040_0017>
01/08/2024 14:06:32  01/08/2024 12:09:32 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1704722792_0017>
01/08/2024 14:06:20  01/08/2024 12:09:20 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1704722780_0017>
01/08/2024 14:06:20  01/08/2024 12:09:20 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1704722780_0017>
01/08/2024 14:06:18  01/08/2024 12:09:18 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1704722778_0017>
01/08/2024 14:02:48  01/08/2024 12:05:48 E-16428     2     7      NV_ID= 44 (NV_RX_MODE)  P/S=P RX=0  AVAPS=0  <UTC:1704722568_0017>
01/08/2024 13:31:33  01/08/2024 11:34:33 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1704720693_0017>
01/08/2024 13:31:15  01/08/2024 11:34:15 E-17476    20    10      NV_ID= 68 (NV_FLOW_CYCLE_SENS)  P/S=P RX=2  AVAPS=0  <UTC:1704720675_0017>
