Product ID=2c, Serial#=TV113102307, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1159654 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
04/03/2024 12:31:59  04/03/2024 09:40:59 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1712147519_0017>
04/03/2024 12:31:50  04/03/2024 09:40:50 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1712147510_0017>
04/03/2024 12:31:23  04/03/2024 09:40:23 E-00282     0 65535  ERR_INT_LI_ION_DEPLETED  HIGH_ALARM  <UTC:1712147483_0017>
04/03/2024 12:31:21  04/03/2024 09:40:21 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1712147481_0017>
04/03/2024 12:31:21  04/03/2024 09:40:21 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1712147481_0017>
03/20/2024 19:59:02  03/20/2024 17:08:02 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1710964742_0017>
03/20/2024 19:59:02  03/20/2024 17:08:02 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1710964742_0017>
03/19/2024 18:47:59  03/19/2024 15:56:59 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1710874079_0017>
03/19/2024 18:47:56  03/19/2024 15:56:56 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1710874076_0017>
03/19/2024 18:47:56  03/19/2024 15:56:56 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1710874076_0017>
03/19/2024 18:47:56  03/19/2024 15:56:56 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1710874076_0017>
03/19/2024 18:47:55  03/19/2024 15:56:55 E-00121   100     1  ERR_PATIENT_DISCONNECT_ALARM  HIGH_ALARM  <UTC:1710874075_0017>
03/19/2024 18:47:50  03/19/2024 15:56:50 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1710874070_0017>
03/19/2024 18:47:48  03/19/2024 15:56:48 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1710874068_0017>
