Product ID=31, Serial#=TV019111307, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1382838 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
07/10/2024 20:00:50  07/10/2024 16:26:50 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1720641650_0017>
07/10/2024 20:00:50  07/10/2024 16:26:50 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1720641650_0017>
07/10/2024 20:00:48  07/10/2024 16:26:48 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1720641648_0017>
07/10/2024 20:00:48  07/10/2024 16:26:48 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1720641648_0017>
07/02/2024 12:17:26  07/02/2024 08:43:26 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1719922646_0017>
07/01/2024 19:20:43  07/01/2024 15:46:43 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1719861643_0017>
07/01/2024 19:20:43  07/01/2024 15:46:43 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1719861643_0017>
07/01/2024 19:20:41  07/01/2024 15:46:41 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1719861641_0017>
07/01/2024 19:20:37  07/01/2024 15:46:37 E-00054     0     6  ERR_LOW_VTE_ALARM  HIGH_ALARM  <UTC:1719861637_0017>
07/01/2024 19:20:36  07/01/2024 15:46:36 E-00167     0 65535  ERR_UI_HIDE_KEY_PRESS  KEYPRESS  <UTC:1719861636_0017>
07/01/2024 19:20:34  07/01/2024 15:46:34 E-00165  6499     9  ERR_LOW_PEP_ALARM  HIGH_ALARM  <UTC:1719861634_0017>
07/01/2024 19:20:33  07/01/2024 15:46:33 E-00110     0    10  ERR_LOW_PIP_ALARM  HIGH_ALARM  <UTC:1719861633_0017>
07/01/2024 19:20:32  07/01/2024 15:46:32 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1719861632_0017>
07/01/2024 19:20:32  07/01/2024 15:46:32 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1719861632_0017>
