Product ID=31, Serial#=TV018022010, SWVersion=(See Log Data), HWVersion=(See Log Data)
------------------------------------------------------------------
LOG ID 0017 (Encrypted Significant Event Text) 1310318 total bytes
------------------------------------------------------------------
     UTC Time           Device Time          Err              Descr
05/13/2024 12:18:27  05/13/2024 10:17:27 E-00264     0 65535  ERR_MENU_BYPASS_ACTIVATED  KEYPRESS  <UTC:1715602707_0017>
05/13/2024 12:17:35  05/13/2024 10:16:35 E-00284     0 65535  ERR_PWR_UPGRADE_AC_IN_USE  BEEP_ONLY  <UTC:1715602655_0017>
05/13/2024 12:17:25  05/13/2024 10:16:25 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1715602645_0017>
05/13/2024 12:17:04  05/13/2024 10:16:04 E-00282     0 65535  ERR_INT_LI_ION_DEPLETED  HIGH_ALARM  <UTC:1715602624_0017>
05/13/2024 12:17:04  05/13/2024 10:16:04 E-00072     0 65535  ERR_MMC_SD_CARD_INSERTED  BEEP_ONLY  <UTC:1715602624_0017>
05/13/2024 12:17:02  05/13/2024 10:16:02 E-00252     0 65535  ERR_INT_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1715602622_0017>
05/13/2024 12:17:02  05/13/2024 10:16:02 E-00251     0 65535  ERR_DET_LI_ION_CONNECTED  BEEP_ONLY  <UTC:1715602622_0017>
05/13/2024 12:15:16  05/13/2024 10:14:16 E-00179     0 65535  ERR_PWR_REDUCTION_AC_DISCONNECTED  MED_ALARM  <UTC:1715602516_0017>
05/13/2024 12:15:12  05/13/2024 10:14:12 E-16415     1     0      NV_ID= 31 (NV_UNIT_STATE)  P/S=P RX=0  AVAPS=0  <UTC:1715602512_0017>
05/13/2024 12:15:12  05/13/2024 10:14:12 E-00294     0 65535  ERR_POWER_OFF_YES_KEY  KEYPRESS  <UTC:1715602512_0017>
05/13/2024 12:15:11  05/13/2024 10:14:11 E-00293     0 65535  ERR_POWER_OFF_KEY  KEYPRESS  <UTC:1715602511_0017>
05/13/2024 12:15:10  05/13/2024 10:14:10 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1715602510_0017>
05/13/2024 12:15:08  05/13/2024 10:14:08 E-00110    48     2  ERR_LOW_PIP_ALARM  HIGH_ALARM  <UTC:1715602508_0017>
05/13/2024 12:15:05  05/13/2024 10:14:05 E-00166     0 65535  ERR_UI_RESET_KEY_PRESS  KEYPRESS  <UTC:1715602505_0017>
